Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s,Mode,BaseSeed,MetaSeed,Method
P,200,335,334,333,312,22,23,0.934131736526946,0.93134328358209,0.932735426008969,0.997014925373134,68.2335329341317,19.9999999999996,295.57971051725,0.0029940119760479,Full3C,43,43,Stack
S,50,335,331,323,146,185,189,0.441087613293051,0.435820895522388,0.438438438438438,0.988059701492537,723.232628398792,70.0000000000003,2324.84473054611,0.0996978851963746,Full3C,43,43,Stack
S,100,335,331,323,193,138,142,0.583081570996979,0.576119402985075,0.57957957957958,0.988059701492537,723.232628398792,70.0000000000003,2324.84473054611,0.0996978851963746,Full3C,43,43,Stack
S,200,335,331,323,234,97,101,0.706948640483384,0.698507462686567,0.702702702702703,0.988059701492537,723.232628398792,70.0000000000003,2324.84473054611,0.0996978851963746,Full3C,43,43,Stack
P,50,335,333,331,243,90,92,0.72972972972973,0.725373134328358,0.727544910179641,0.994029850746269,69.4594594594595,19.9999999999996,297.108689831808,0.003003003003003,Full3C,43,44,Stack
P,100,335,333,331,293,40,42,0.87987987987988,0.874626865671642,0.877245508982036,0.994029850746269,69.4594594594595,19.9999999999996,297.108689831808,0.003003003003003,Full3C,43,44,Stack
P,200,335,333,331,312,21,23,0.936936936936937,0.93134328358209,0.934131736526946,0.994029850746269,69.4594594594595,19.9999999999996,297.108689831808,0.003003003003003,Full3C,43,44,Stack
S,50,335,331,318,138,193,197,0.416918429003021,0.411940298507463,0.414414414414414,0.988059701492537,717.824773413897,70.0000000000003,2189.41231475205,0.105740181268882,Full3C,43,44,Stack
S,100,335,331,318,189,142,146,0.570996978851964,0.564179104477612,0.567567567567568,0.988059701492537,717.824773413897,70.0000000000003,2189.41231475205,0.105740181268882,Full3C,43,44,Stack
S,200,335,331,318,237,94,98,0.716012084592145,0.707462686567164,0.711711711711712,0.988059701492537,717.824773413897,70.0000000000003,2189.41231475205,0.105740181268882,Full3C,43,44,Stack
P,50,335,334,333,250,84,85,0.748502994011976,0.746268656716418,0.747384155455904,0.997014925373134,104.311377245509,19.9999999999996,742.816294856401,0.00598802395209581,Zonly,43,42,Stack
P,100,335,334,333,293,41,42,0.877245508982036,0.874626865671642,0.87593423019432,0.997014925373134,104.311377245509,19.9999999999996,742.816294856401,0.00598802395209581,Zonly,43,42,Stack
P,200,335,334,333,311,23,24,0.931137724550898,0.928358208955224,0.929745889387145,0.997014925373134,104.311377245509,19.9999999999996,742.816294856401,0.00598802395209581,Zonly,43,42,Stack
S,50,335,322,265,68,254,267,0.211180124223602,0.202985074626866,0.207001522070015,0.961194029850746,907.919254658385,220.000000000002,2304.17815207977,0.152173913043478,Zonly,43,42,Stack
S,100,335,322,265,108,214,227,0.335403726708075,0.322388059701493,0.328767123287671,0.961194029850746,907.919254658385,220.000000000002,2304.17815207977,0.152173913043478,Zonly,43,42,Stack
S,200,335,322,265,156,166,179,0.484472049689441,0.465671641791045,0.474885844748858,0.961194029850746,907.919254658385,220.000000000002,2304.17815207977,0.152173913043478,Zonly,43,42,Stack
P,50,335,334,331,248,86,87,0.74251497005988,0.740298507462687,0.741405082212257,0.997014925373134,165.868263473054,19.9999999999996,1830.8884986833,0.00598802395209581,Zonly,43,43,Stack
P,100,335,334,331,294,40,41,0.880239520958084,0.877611940298507,0.878923766816143,0.997014925373134,165.868263473054,19.9999999999996,1830.8884986833,0.00598802395209581,Zonly,43,43,Stack
P,200,335,334,331,310,24,25,0.92814371257485,0.925373134328358,0.926756352765321,0.997014925373134,165.868263473054,19.9999999999996,1830.8884986833,0.00598802395209581,Zonly,43,43,Stack
S,50,335,316,249,73,243,262,0.231012658227848,0.217910447761194,0.224270353302611,0.943283582089552,916.898734177215,200,2457.33028954163,0.142405063291139,Zonly,43,43,Stack
