evaluation,policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,unconstrained,S,200,330,254,146,182,72,148,0.7165354330708661,0.5515151515151515,0.6232876712328768,0.7696969696969697,453.07086614173227,80.00000000000007,1492.8593818100444,0.07480314960629922
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,accepted,P,50,330,327,321,230,97,100,0.7033639143730887,0.696969696969697,0.700152207001522,0.990909090909091,129.17431192660538,29.999999999999805,648.0476442635016,0.012232415902140673
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,accepted,P,100,330,327,321,275,52,55,0.8409785932721713,0.8333333333333334,0.837138508371385,0.990909090909091,129.17431192660538,29.999999999999805,648.0476442635016,0.012232415902140673
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,accepted,P,200,330,327,321,299,28,31,0.9143730886850153,0.906060606060606,0.9101978691019786,0.990909090909091,129.17431192660538,29.999999999999805,648.0476442635016,0.012232415902140673
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,accepted,S,50,330,324,309,130,194,200,0.4012345679012346,0.3939393939393939,0.39755351681957185,0.9818181818181818,577.6543209876543,70.00000000000028,1981.2860582067508,0.07098765432098765
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,accepted,S,100,330,324,309,186,138,144,0.5740740740740741,0.5636363636363636,0.5688073394495413,0.9818181818181818,577.6543209876543,70.00000000000028,1981.2860582067508,0.07098765432098765
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,accepted,S,200,330,324,309,232,92,98,0.7160493827160493,0.703030303030303,0.709480122324159,0.9818181818181818,577.6543209876543,70.00000000000028,1981.2860582067508,0.07098765432098765
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,strict,P,50,330,321,321,230,91,100,0.7165109034267912,0.696969696969697,0.706605222734255,0.9727272727272728,125.66978193146407,29.99999999999936,652.1013242370016,0.012461059190031152
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,strict,P,100,330,321,321,274,47,56,0.8535825545171339,0.8303030303030303,0.8417818740399385,0.9727272727272728,125.66978193146407,29.99999999999936,652.1013242370016,0.012461059190031152
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,strict,P,200,330,321,321,297,24,33,0.9252336448598131,0.9,0.9124423963133641,0.9727272727272728,125.66978193146407,29.99999999999936,652.1013242370016,0.012461059190031152
strengthening/base_43/Full3C/Full3C/evaluation/full15ch_seed42,strict,S,50,330,309,309,128,181,202,0.41423948220064727,0.3878787878787879,0.40062597809076683,0.9363636363636364,462.5566343042071,70.00000000000028,1550.7157758518251,0.061488673139158574
