Method,Mode,Policy,Phase,Tolerance_ms,BaseSeed,F1,MAE_ms,AcceptedCoverage,MedAE_ms,RMSE_ms,OutlierRate1s,meta_F1_SD
PhaseNetMatched,Full3C,accepted,P,50,42,0.9727272727272728,41.090909090908866,1.0,9.999999999999787,365.44451968759495,0.0030303030303030303,0
PhaseNetMatched,Full3C,accepted,P,50,43,0.9757575757575757,28.333333333333282,1.0,0.0,272.4762986634495,0.0030303030303030303,0
PhaseNetMatched,Full3C,accepted,P,50,44,0.9772382397572079,33.981762917932926,0.996969696969697,9.999999999999787,261.79529811572536,0.00303951367781155,0
PhaseNetMatched,Full3C,accepted,P,100,42,0.9818181818181818,41.090909090908866,1.0,9.999999999999787,365.44451968759495,0.0030303030303030303,0
PhaseNetMatched,Full3C,accepted,P,100,43,0.9848484848484849,28.333333333333282,1.0,0.0,272.4762986634495,0.0030303030303030303,0
PhaseNetMatched,Full3C,accepted,P,100,44,0.9833080424886191,33.981762917932926,0.996969696969697,9.999999999999787,261.79529811572536,0.00303951367781155,0
PhaseNetMatched,Full3C,accepted,P,200,42,0.9848484848484849,41.090909090908866,1.0,9.999999999999787,365.44451968759495,0.0030303030303030303,0
PhaseNetMatched,Full3C,accepted,P,200,43,0.9848484848484849,28.333333333333282,1.0,0.0,272.4762986634495,0.0030303030303030303,0
PhaseNetMatched,Full3C,accepted,P,200,44,0.9863429438543247,33.981762917932926,0.996969696969697,9.999999999999787,261.79529811572536,0.00303951367781155,0
PhaseNetMatched,Full3C,accepted,S,50,42,0.36666666666666664,179.54545454545453,1.0,80.00000000000007,386.90340192901164,0.015151515151515152,0
PhaseNetMatched,Full3C,accepted,S,50,43,0.4030534351145038,163.99999999999997,0.9848484848484849,70.00000000000028,379.62896866039324,0.006153846153846154,0
PhaseNetMatched,Full3C,accepted,S,50,44,0.3581183611532625,166.80851063829783,0.996969696969697,89.99999999999986,264.6945822726609,0.0060790273556231,0
PhaseNetMatched,Full3C,accepted,S,100,42,0.5787878787878787,179.54545454545453,1.0,80.00000000000007,386.90340192901164,0.015151515151515152,0
PhaseNetMatched,Full3C,accepted,S,100,43,0.6198473282442748,163.99999999999997,0.9848484848484849,70.00000000000028,379.62896866039324,0.006153846153846154,0
PhaseNetMatched,Full3C,accepted,S,100,44,0.5584218512898331,166.80851063829783,0.996969696969697,89.99999999999986,264.6945822726609,0.0060790273556231,0
PhaseNetMatched,Full3C,accepted,S,200,42,0.7484848484848485,179.54545454545453,1.0,80.00000000000007,386.90340192901164,0.015151515151515152,0
PhaseNetMatched,Full3C,accepted,S,200,43,0.7572519083969466,163.99999999999997,0.9848484848484849,70.00000000000028,379.62896866039324,0.006153846153846154,0
PhaseNetMatched,Full3C,accepted,S,200,44,0.7132018209408194,166.80851063829783,0.996969696969697,89.99999999999986,264.6945822726609,0.0060790273556231,0
