peak_threshold,quality_threshold,max_SP_seconds,Policy,Phase,Tolerance_ms,Method,Mode,mean_F1,between_base_SD_F1,mean_Coverage,between_base_SD_Coverage,mean_MAE_ms,between_base_SD_MAE_ms
0.2,4,40,accepted,S,100,PhaseNetMatched,Full3C,0.5856856861073289,0.03128829036768158,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895
0.2,4,40,accepted,S,100,PhaseNetMatched,Zonly,0.2993122716526972,0.017770230764121774,0.997979797979798,0.003499092540543209,504.0631929046564,86.26234031689215
0.2,4,40,strict,P,100,Stack,Full3C,0.82890972034398,0.0065736942736522586,0.9855218855218856,0.0011663641801810697,144.75808079369094,32.057582394087504
0.2,4,40,strict,P,100,Stack,Zonly,0.8133559842335244,0.007208677784376444,0.9861952861952862,0.0011663641801810697,166.71752499214315,26.30788211358611
0.2,4,40,strict,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,4,40,strict,P,100,PhaseNetMatched,Zonly,0.9838199904967735,0.003828581162268285,0.997979797979798,0.0017495462702716044,24.598292959994925,2.718884593688873
0.2,4,40,strict,S,100,Stack,Full3C,0.5537404351874149,0.013739387164066925,0.9774410774410774,0.004773551137628885,591.9731167275444,33.67433054643574
0.2,4,40,strict,S,100,Stack,Zonly,0.26819660548885693,0.015155402448920061,0.8632996632996633,0.025580363519491743,1129.9654658344589,167.88699372867845
0.2,4,40,strict,S,100,PhaseNetMatched,Full3C,0.5862613352704574,0.030822228471061877,0.9919191919191919,0.006308078786260987,169.16094595596408,7.392039290142962
0.2,4,40,strict,S,100,PhaseNetMatched,Zonly,0.29878171023209193,0.01688347952744913,0.9949494949494949,0.008747731351357958,497.56456876456883,93.76508578844236
0.3,2,20,accepted,P,100,Stack,Full3C,0.8268024813560109,0.006942314904482195,0.9905723905723907,0.0015429547794464206,166.6244186727153,32.31898387311963
0.3,2,20,accepted,P,100,Stack,Zonly,0.8133945291974217,0.007298712166757752,0.9902356902356902,0.002102692928753683,178.3012908122193,28.57013031486391
0.3,2,20,accepted,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.3,2,20,accepted,P,100,PhaseNetMatched,Zonly,0.9833249030517619,0.0045454779983777035,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424
0.3,2,20,accepted,S,100,Stack,Full3C,0.5541665212569639,0.012280626098963224,0.9794612794612795,0.005183435797421128,557.3292186294775,14.693953154090039
0.3,2,20,accepted,S,100,Stack,Zonly,0.26861536601170466,0.015246310948536701,0.9205387205387205,0.023041228432223042,1109.6519328893191,90.03376001087618
