Method,Mode,BaseSeed,MetaSeed,Policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
Stack,Full3C,43,44,accepted,S,100,335,331,318,189,142,146,0.5709969788519638,0.564179104477612,0.5675675675675675,0.9880597014925373,717.8247734138973,70.00000000000028,2189.4123147520468,0.10574018126888217
Stack,Full3C,43,44,accepted,S,200,335,331,318,237,94,98,0.716012084592145,0.7074626865671642,0.7117117117117117,0.9880597014925373,717.8247734138973,70.00000000000028,2189.4123147520468,0.10574018126888217
Stack,Full3C,43,44,strict,P,50,335,331,331,243,88,92,0.7341389728096677,0.7253731343283583,0.7297297297297297,0.9880597014925373,67.37160120845911,19.999999999999574,296.19643192312077,0.0030211480362537764
Stack,Full3C,43,44,strict,P,100,335,331,331,293,38,42,0.8851963746223565,0.8746268656716418,0.8798798798798799,0.9880597014925373,67.37160120845911,19.999999999999574,296.19643192312077,0.0030211480362537764
Stack,Full3C,43,44,strict,P,200,335,331,331,312,19,23,0.9425981873111783,0.9313432835820895,0.9369369369369369,0.9880597014925373,67.37160120845911,19.999999999999574,296.19643192312077,0.0030211480362537764
Stack,Full3C,43,44,strict,S,50,335,318,318,136,182,199,0.4276729559748428,0.4059701492537313,0.4165390505359878,0.9492537313432836,603.2389937106918,70.00000000000028,1913.401183246816,0.09119496855345911
Stack,Full3C,43,44,strict,S,100,335,318,318,186,132,149,0.5849056603773585,0.5552238805970149,0.5696784073506891,0.9492537313432836,603.2389937106918,70.00000000000028,1913.401183246816,0.09119496855345911
Stack,Full3C,43,44,strict,S,200,335,318,318,233,85,102,0.7327044025157232,0.6955223880597015,0.7136294027565084,0.9492537313432836,603.2389937106918,70.00000000000028,1913.401183246816,0.09119496855345911
Stack,Full3C,44,42,accepted,P,50,335,335,333,240,95,95,0.7164179104477612,0.7164179104477612,0.7164179104477612,1.0,170.23880597014912,19.999999999999574,1833.143373243258,0.005970149253731343
Stack,Full3C,44,42,accepted,P,100,335,335,333,289,46,46,0.8626865671641791,0.8626865671641791,0.8626865671641791,1.0,170.23880597014912,19.999999999999574,1833.143373243258,0.005970149253731343
Stack,Full3C,44,42,accepted,P,200,335,335,333,310,25,25,0.9253731343283582,0.9253731343283582,0.9253731343283582,1.0,170.23880597014912,19.999999999999574,1833.143373243258,0.005970149253731343
Stack,Full3C,44,42,accepted,S,50,335,331,313,140,191,195,0.4229607250755287,0.417910447761194,0.42042042042042044,0.9880597014925373,654.5317220543807,70.00000000000028,2166.1474705218798,0.08761329305135952
Stack,Full3C,44,42,accepted,S,100,335,331,313,194,137,141,0.5861027190332326,0.5791044776119403,0.5825825825825826,0.9880597014925373,654.5317220543807,70.00000000000028,2166.1474705218798,0.08761329305135952
Stack,Full3C,44,42,accepted,S,200,335,331,313,236,95,99,0.7129909365558912,0.7044776119402985,0.7087087087087087,0.9880597014925373,654.5317220543807,70.00000000000028,2166.1474705218798,0.08761329305135952
Stack,Full3C,44,42,strict,P,50,335,333,333,240,93,95,0.7207207207207207,0.7164179104477612,0.718562874251497,0.9940298507462687,70.78078078078065,19.999999999999574,296.8518502907149,0.003003003003003003
Stack,Full3C,44,42,strict,P,100,335,333,333,289,44,46,0.8678678678678678,0.8626865671641791,0.8652694610778443,0.9940298507462687,70.78078078078065,19.999999999999574,296.8518502907149,0.003003003003003003
Stack,Full3C,44,42,strict,P,200,335,333,333,310,23,25,0.9309309309309309,0.9253731343283582,0.9281437125748503,0.9940298507462687,70.78078078078065,19.999999999999574,296.8518502907149,0.003003003003003003
Stack,Full3C,44,42,strict,S,50,335,313,313,137,176,198,0.43769968051118213,0.408955223880597,0.4228395061728395,0.9343283582089552,539.3290734824282,70.00000000000028,1825.8664186938042,0.07348242811501597
Stack,Full3C,44,42,strict,S,100,335,313,313,191,122,144,0.610223642172524,0.5701492537313433,0.5895061728395061,0.9343283582089552,539.3290734824282,70.00000000000028,1825.8664186938042,0.07348242811501597
Stack,Full3C,44,42,strict,S,200,335,313,313,232,81,103,0.7412140575079872,0.6925373134328359,0.7160493827160493,0.9343283582089552,539.3290734824282,70.00000000000028,1825.8664186938042,0.07348242811501597
Stack,Full3C,44,43,accepted,P,50,335,333,332,237,96,98,0.7117117117117117,0.7074626865671642,0.7095808383233533,0.9940298507462687,72.70270270270258,19.999999999999574,297.1662965543162,0.003003003003003003
