Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s,Mode,BaseSeed,MetaSeed,Method
S,50,330,324,309,130,194,200,0.401234567901235,0.393939393939394,0.397553516819572,0.981818181818182,577.654320987654,70.0000000000003,1981.28605820675,0.0709876543209877,Full3C,43,42,Stack
S,100,330,324,309,186,138,144,0.574074074074074,0.563636363636364,0.568807339449541,0.981818181818182,577.654320987654,70.0000000000003,1981.28605820675,0.0709876543209877,Full3C,43,42,Stack
S,200,330,324,309,232,92,98,0.716049382716049,0.703030303030303,0.709480122324159,0.981818181818182,577.654320987654,70.0000000000003,1981.28605820675,0.0709876543209877,Full3C,43,42,Stack
P,50,330,325,322,230,95,100,0.707692307692308,0.696969696969697,0.702290076335878,0.984848484848485,127.169230769231,29.9999999999994,648.669407325488,0.0123076923076923,Full3C,43,43,Stack
P,100,330,325,322,272,53,58,0.836923076923077,0.824242424242424,0.830534351145038,0.984848484848485,127.169230769231,29.9999999999994,648.669407325488,0.0123076923076923,Full3C,43,43,Stack
P,200,330,325,322,296,29,34,0.910769230769231,0.896969696969697,0.90381679389313,0.984848484848485,127.169230769231,29.9999999999994,648.669407325488,0.0123076923076923,Full3C,43,43,Stack
S,50,330,324,307,128,196,202,0.395061728395062,0.387878787878788,0.391437308868502,0.981818181818182,735.648148148148,80.0000000000001,2453.07523048515,0.095679012345679,Full3C,43,43,Stack
S,100,330,324,307,185,139,145,0.570987654320988,0.560606060606061,0.565749235474006,0.981818181818182,735.648148148148,80.0000000000001,2453.07523048515,0.095679012345679,Full3C,43,43,Stack
S,200,330,324,307,224,100,106,0.691358024691358,0.678787878787879,0.685015290519878,0.981818181818182,735.648148148148,80.0000000000001,2453.07523048515,0.095679012345679,Full3C,43,43,Stack
P,50,330,327,323,227,100,103,0.694189602446483,0.687878787878788,0.691019786910198,0.990909090909091,131.896024464832,29.9999999999994,649.69411763012,0.0122324159021407,Full3C,43,44,Stack
P,100,330,327,323,272,55,58,0.831804281345566,0.824242424242424,0.828006088280061,0.990909090909091,131.896024464832,29.9999999999994,649.69411763012,0.0122324159021407,Full3C,43,44,Stack
P,200,330,327,323,297,30,33,0.908256880733945,0.9,0.904109589041096,0.990909090909091,131.896024464832,29.9999999999994,649.69411763012,0.0122324159021407,Full3C,43,44,Stack
S,50,330,326,312,129,197,201,0.395705521472393,0.390909090909091,0.393292682926829,0.987878787878788,638.98773006135,80.0000000000001,2241.40067677893,0.0797546012269939,Full3C,43,44,Stack
S,100,330,326,312,187,139,143,0.573619631901841,0.566666666666667,0.570121951219512,0.987878787878788,638.98773006135,80.0000000000001,2241.40067677893,0.0797546012269939,Full3C,43,44,Stack
S,200,330,326,312,227,99,103,0.696319018404908,0.687878787878788,0.692073170731707,0.987878787878788,638.98773006135,80.0000000000001,2241.40067677893,0.0797546012269939,Full3C,43,44,Stack
P,50,330,330,326,230,100,100,0.696969696969697,0.696969696969697,0.696969696969697,1,328.30303030303,30.0000000000002,2339.32261627812,0.0212121212121212,Zonly,43,42,Stack
P,100,330,330,326,269,61,61,0.815151515151515,0.815151515151515,0.815151515151515,1,328.30303030303,30.0000000000002,2339.32261627812,0.0212121212121212,Zonly,43,42,Stack
P,200,330,330,326,298,32,32,0.903030303030303,0.903030303030303,0.903030303030303,1,328.30303030303,30.0000000000002,2339.32261627812,0.0212121212121212,Zonly,43,42,Stack
S,50,330,315,249,47,268,283,0.149206349206349,0.142424242424242,0.145736434108527,0.954545454545455,1386.53968253968,279.999999999999,3110.14132277282,0.247619047619048,Zonly,43,42,Stack
S,100,330,315,249,83,232,247,0.263492063492063,0.251515151515152,0.257364341085271,0.954545454545455,1386.53968253968,279.999999999999,3110.14132277282,0.247619047619048,Zonly,43,42,Stack
S,200,330,315,249,133,182,197,0.422222222222222,0.403030303030303,0.412403100775194,0.954545454545455,1386.53968253968,279.999999999999,3110.14132277282,0.247619047619048,Zonly,43,42,Stack
P,50,330,326,323,224,102,106,0.687116564417178,0.678787878787879,0.682926829268293,0.987878787878788,130.644171779141,29.9999999999994,648.41406334688,0.0122699386503067,Zonly,43,43,Stack
P,100,330,326,323,266,60,64,0.815950920245399,0.806060606060606,0.810975609756098,0.987878787878788,130.644171779141,29.9999999999994,648.41406334688,0.0122699386503067,Zonly,43,43,Stack
P,200,330,326,323,298,28,32,0.914110429447853,0.903030303030303,0.908536585365854,0.987878787878788,130.644171779141,29.9999999999994,648.41406334688,0.0122699386503067,Zonly,43,43,Stack
S,50,330,300,242,46,254,284,0.153333333333333,0.139393939393939,0.146031746031746,0.909090909090909,1260.5,280.000000000001,2975.21175716956,0.216666666666667,Zonly,43,43,Stack
S,100,330,300,242,78,222,252,0.26,0.236363636363636,0.247619047619048,0.909090909090909,1260.5,280.000000000001,2975.21175716956,0.216666666666667,Zonly,43,43,Stack
S,200,330,300,242,129,171,201,0.43,0.390909090909091,0.40952380952381,0.909090909090909,1260.5,280.000000000001,2975.21175716956,0.216666666666667,Zonly,43,43,Stack
P,50,330,325,322,234,91,96,0.72,0.709090909090909,0.714503816793893,0.984848484848485,129.630769230769,30.0000000000002,649.881172570446,0.0123076923076923,Zonly,43,44,Stack
P,100,330,325,322,267,58,63,0.821538461538462,0.809090909090909,0.815267175572519,0.984848484848485,129.630769230769,30.0000000000002,649.881172570446,0.0123076923076923,Zonly,43,44,Stack
P,200,330,325,322,298,27,32,0.916923076923077,0.903030303030303,0.909923664122137,0.984848484848485,129.630769230769,30.0000000000002,649.881172570446,0.0123076923076923,Zonly,43,44,Stack
S,50,330,292,220,37,255,293,0.126712328767123,0.112121212121212,0.118971061093248,0.884848484848485,1350.78767123288,230,3169.01279948309,0.222602739726027,Zonly,43,44,Stack
S,100,330,292,220,78,214,252,0.267123287671233,0.236363636363636,0.2508038585209,0.884848484848485,1350.78767123288,230,3169.01279948309,0.222602739726027,Zonly,43,44,Stack
S,200,330,292,220,128,164,202,0.438356164383562,0.387878787878788,0.411575562700965,0.884848484848485,1350.78767123288,230,3169.01279948309,0.222602739726027,Zonly,43,44,Stack
P,50,330,327,322,220,107,110,0.672782874617737,0.666666666666667,0.669710806697108,0.990909090909091,105.65749235474,29.9999999999994,473.80785535072,0.00917431192660551,Full3C,44,42,Stack
P,100,330,327,322,269,58,61,0.82262996941896,0.815151515151515,0.818873668188737,0.990909090909091,105.65749235474,29.9999999999994,473.80785535072,0.00917431192660551,Full3C,44,42,Stack
P,200,330,327,322,299,28,31,0.914373088685015,0.906060606060606,0.910197869101979,0.990909090909091,105.65749235474,29.9999999999994,473.80785535072,0.00917431192660551,Full3C,44,42,Stack
S,50,330,326,320,122,204,208,0.374233128834356,0.36969696969697,0.371951219512195,0.987878787878788,522.453987730061,89.9999999999999,1729.62370459855,0.0766871165644172,Full3C,44,42,Stack
S,100,330,326,320,180,146,150,0.552147239263804,0.545454545454545,0.548780487804878,0.987878787878788,522.453987730061,89.9999999999999,1729.62370459855,0.0766871165644172,Full3C,44,42,Stack
S,200,330,326,320,226,100,104,0.693251533742331,0.684848484848485,0.689024390243902,0.987878787878788,522.453987730061,89.9999999999999,1729.62370459855,0.0766871165644172,Full3C,44,42,Stack
P,50,330,324,322,226,98,104,0.697530864197531,0.684848484848485,0.691131498470948,0.981818181818182,102.962962962963,29.9999999999996,474.052010481946,0.00925925925925926,Full3C,44,43,Stack
P,100,330,324,322,270,54,60,0.833333333333333,0.818181818181818,0.825688073394495,0.981818181818182,102.962962962963,29.9999999999996,474.052010481946,0.00925925925925926,Full3C,44,43,Stack
P,200,330,324,322,298,26,32,0.919753086419753,0.903030303030303,0.91131498470948,0.981818181818182,102.962962962963,29.9999999999996,474.052010481946,0.00925925925925926,Full3C,44,43,Stack
S,50,330,321,308,122,199,208,0.38006230529595,0.36969696969697,0.374807987711214,0.972727272727273,631.028037383178,80.0000000000001,2150.62086232277,0.0841121495327103,Full3C,44,43,Stack
S,100,330,321,308,182,139,148,0.566978193146417,0.551515151515152,0.559139784946237,0.972727272727273,631.028037383178,80.0000000000001,2150.62086232277,0.0841121495327103,Full3C,44,43,Stack
S,200,330,321,308,225,96,105,0.700934579439252,0.681818181818182,0.691244239631336,0.972727272727273,631.028037383178,80.0000000000001,2150.62086232277,0.0841121495327103,Full3C,44,43,Stack
P,50,330,330,325,222,108,108,0.672727272727273,0.672727272727273,0.672727272727273,1,354.424242424242,30.0000000000002,2707.76280237753,0.0181818181818182,Full3C,44,44,Stack
P,100,330,330,325,268,62,62,0.812121212121212,0.812121212121212,0.812121212121212,1,354.424242424242,30.0000000000002,2707.76280237753,0.0181818181818182,Full3C,44,44,Stack
P,200,330,330,325,296,34,34,0.896969696969697,0.896969696969697,0.896969696969697,1,354.424242424242,30.0000000000002,2707.76280237753,0.0181818181818182,Full3C,44,44,Stack
S,50,330,326,315,120,206,210,0.368098159509202,0.363636363636364,0.365853658536585,0.987878787878788,723.527607361963,89.9999999999999,2650.07969552579,0.0920245398773006,Full3C,44,44,Stack
