subset,Method,Mode,Policy,Phase,Tolerance_ms,N,N_sources,mean_F1,between_base_SD_F1,mean_Coverage,between_base_SD_Coverage,mean_MAE_ms,between_base_SD_MAE_ms,mean_MedianAE_ms,between_base_SD_MedianAE_ms,mean_RMSE_ms,between_base_SD_RMSE_ms,mean_P90AE_ms,between_base_SD_P90AE_ms,mean_Outlier1s,between_base_SD_Outlier1s
all_test,PhaseNetMatched,Zonly,strict,S,200,330,221,0.5115318114043514,0.018189899327042118,0.9787878787878788,0.008017428215347233,468.02879669199115,73.26372135662999,193.33333333333292,11.547005383792392,1265.9979694810863,312.00830355234035,910.3333333333333,60.00277771348051,0.08150858657803102,0.004160463520514955
manual_both,Stack,Full3C,accepted,P,50,287,188,0.6719956646703324,0.014193782534127944,0.9910956252419667,0.001341115607873684,173.31074988372856,37.10472873886853,30.00000000000025,0.0,1049.7693532606222,343.0924385401278,188.33333333333357,1.452966314513622,0.011314558451056484,0.0013471043509587352
manual_both,Stack,Full3C,accepted,P,100,287,188,0.8092670055313114,0.00807241768193009,0.9910956252419667,0.001341115607873684,173.31074988372856,37.10472873886853,30.00000000000025,0.0,1049.7693532606222,343.0924385401278,188.33333333333357,1.452966314513622,0.011314558451056484,0.0013471043509587352
manual_both,Stack,Full3C,accepted,P,200,287,188,0.9002623417633074,7.971429050850781e-05,0.9910956252419667,0.001341115607873684,173.31074988372856,37.10472873886853,30.00000000000025,0.0,1049.7693532606222,343.0924385401278,188.33333333333357,1.452966314513622,0.011314558451056484,0.0013471043509587352
manual_both,Stack,Full3C,accepted,S,50,287,188,0.361251538825558,0.017905600251281538,0.9825783972125436,0.004187632143396066,467.68185644245244,28.679588612182474,88.88888888888877,8.388704928078434,1634.2586270500967,164.49611069449728,600.4444444444443,14.1316560849648,0.06066455740062098,0.008144398014287188
manual_both,Stack,Full3C,accepted,S,100,287,188,0.5475537281747817,0.013586056502410888,0.9825783972125436,0.004187632143396066,467.68185644245244,28.679588612182474,88.88888888888877,8.388704928078434,1634.2586270500967,164.49611069449728,600.4444444444443,14.1316560849648,0.06066455740062098,0.008144398014287188
manual_both,Stack,Full3C,accepted,S,200,287,188,0.6912659233554254,0.01192960177626097,0.9825783972125436,0.004187632143396066,467.68185644245244,28.679588612182474,88.88888888888877,8.388704928078434,1634.2586270500967,164.49611069449728,600.4444444444443,14.1316560849648,0.06066455740062098,0.008144398014287188
manual_both,Stack,Full3C,strict,P,50,287,188,0.6760630429675543,0.013836621552880539,0.9779326364692218,0.002322880371660896,118.44741253768589,16.043235998461626,30.00000000000025,0.0,588.2060113571416,119.35935834579287,169.11111111111117,5.102650001424466,0.009501324977355528,0.0020572734208652616
manual_both,Stack,Full3C,strict,P,100,287,188,0.8138627807361979,0.0071258381382815796,0.9779326364692218,0.002322880371660896,118.44741253768589,16.043235998461626,30.00000000000025,0.0,588.2060113571416,119.35935834579287,169.11111111111117,5.102650001424466,0.009501324977355528,0.0020572734208652616
manual_both,Stack,Full3C,strict,P,200,287,188,0.9038998125342633,0.0007791510205377314,0.9779326364692218,0.002322880371660896,118.44741253768589,16.043235998461626,30.00000000000025,0.0,588.2060113571416,119.35935834579287,169.11111111111117,5.102650001424466,0.009501324977355528,0.0020572734208652616
manual_both,Stack,Full3C,strict,S,50,287,188,0.36401668532030956,0.015316384935748358,0.9527680991095625,0.005237223870874452,387.15826898114125,16.359411585218893,84.44444444444443,6.938886664886959,1342.0278882185785,98.28809276730364,539.1111111111102,4.857220665421197,0.050386704457593925,0.008958035928974222
manual_both,Stack,Full3C,strict,S,100,287,188,0.5507865737829382,0.012604030060547585,0.9527680991095625,0.005237223870874452,387.15826898114125,16.359411585218893,84.44444444444443,6.938886664886959,1342.0278882185785,98.28809276730364,539.1111111111102,4.857220665421197,0.050386704457593925,0.008958035928974222
manual_both,Stack,Full3C,strict,S,200,287,188,0.6923256491617887,0.01035955183563474,0.9527680991095625,0.005237223870874452,387.15826898114125,16.359411585218893,84.44444444444443,6.938886664886959,1342.0278882185785,98.28809276730364,539.1111111111102,4.857220665421197,0.050386704457593925,0.008958035928974222
manual_both,Stack,Zonly,accepted,P,50,287,188,0.6717321808184779,0.012757109288532895,0.9895470383275261,0.0023228803716608404,186.50375447139123,33.49980531928533,31.666666666666732,1.666666666666483,1092.2804273036604,282.4132275638823,201.6666666666668,8.950481054731705,0.0140630061444463,0.002312358821951446
manual_both,Stack,Zonly,accepted,P,100,287,188,0.798207444085821,0.0031654669967924763,0.9895470383275261,0.0023228803716608404,186.50375447139123,33.49980531928533,31.666666666666732,1.666666666666483,1092.2804273036604,282.4132275638823,201.6666666666668,8.950481054731705,0.0140630061444463,0.002312358821951446
manual_both,Stack,Zonly,accepted,P,200,287,188,0.8978419182770591,0.006298262403489935,0.9895470383275261,0.0023228803716608404,186.50375447139123,33.49980531928533,31.666666666666732,1.666666666666483,1092.2804273036604,282.4132275638823,201.6666666666668,8.950481054731705,0.0140630061444463,0.002312358821951446
manual_both,Stack,Zonly,accepted,S,50,287,188,0.15653579464209674,0.016452359221581996,0.9283778552071235,0.018522452518630533,1088.0850290219962,114.0159076786767,237.77777777777715,1.9245008972987088,2477.6592848712803,266.85358633416524,3856.8888888888887,364.006308451642,0.18975738305826734,0.0200808093032794
manual_both,Stack,Zonly,accepted,S,100,287,188,0.2770417293762551,0.015392299291896526,0.9283778552071235,0.018522452518630533,1088.0850290219962,114.0159076786767,237.77777777777715,1.9245008972987088,2477.6592848712803,266.85358633416524,3856.8888888888887,364.006308451642,0.18975738305826734,0.0200808093032794
